085
logo.jpg
REASS
085.png
DESCRIZIONE;;Additivo per prodotti vernicianti all'acqua sia a spessore che lisci per interno ed esterno che ne rallenta l'essiccazione e ne favorisce la distensione da usare quando la temperatura e l'umidità del supporto rendono difficile la distensione del film verniciante. Da utilizzare direttamente miscelato al prodotto in fase di diluizione prima della applicazione.
ASPETTO;;NON PROVOCA VARIAZIONI
PESO SPECIFICO;;1,03
RESIDUO SECCO;;
PERMEABILITA AL VAPORE ACQUEO;;NON PROVOCA VARIAZIONI
PRESA DI SPORCO;;NON PROVOCA VARIAZIONI
LAVABILITA';;NON PROVOCA VARIAZIONI
COLORE;;Lattigginoso neutro
ESSICCAZIONE;;PROVOCA UN ALLUNGAMENTO DEL TEMPO DI ESSICCAZIONE
RESA PRATICA;;NON PROVOCA VARIAZIONI
DILUIZIONE;;Non diluire. ;Va aggiunto al prodotto e miscelato nel secchio.;
ATTREZZI;;Gli stessi del prodotto in cui viene mescolato
SUPPORTI;;Gli stessi del prodotto in cui viene mescolato
CODICE ARTICOLO;;REASS;REASS2.5;REASS5;REASS12.5
