Numero Scheda;Nome File;Nome Prodotto;Elementi Etichetta;Peso Specifico (g/cm3);Caratteristiche Particelle;VOC Espressi;Limite Massimo VOC
001;SDS - SUPER TRASPIRA BIANCO - IT - Rev. 3.pdf;SUPER TRASPIRA BIANCO;EUH071, EUH208, EUH210, H301, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.01;30.00
002;SDS - TYRKYS - BIANCO - IT Rev. 1.pdf;TYRKYS BIANCO;EUH071, EUH208, EUH210, EUH211, H301, H310, H314, H315, H317, H318, H319, H330, H400, H410;1.54 g/cm3 Metodo:Picnometro;non applicabile;8.22;30.00
003;SDS - NEFRIT BASE BIANCA - IT - Rev. 2.pdf;NEFRIT base bianca;EUH071, EUH208, EUH210, H301, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;7.39;30.00
004;SDS - REONYX BASE BIANCA - IT - Rev. 3.pdf;REONYX base bianca;EUH071, EUH208, EUH210, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.05;30.00
005;SDS - TITANIT BASE BIANCA - IT - Rev. 2.pdf;TITANIT base bianca;EUH071, EUH208, EUH210, H301, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.47;30.00
006;SDS - TITANIT BASE BO - IT - Rev. 2.pdf;TITANIT base bo;EUH071, EUH208, EUH210, H301, H302, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;8.07;30.00
007;SDS - RETITAN BASE BIANCA - IT - Rev. 2.pdf;RETITAN base bianca;EUH071, EUH208, EUH210, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.27;30.00
008;SDS - UNICO BASE BIANCA - IT - Rev. 3.pdf;UNICO base bianca;EUH071, EUH208, EUH210, H301, H302, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.47;30.00
009;SDS - UNICO PLUS BIANCO - IT - Rev. 2.pdf;UNICO PLUS bianco;EUH071, EUH208, EUH210, H301, H302, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;7.19;30.00
010;SDS - LAVABILE BASE BIANCA - IT - Rev. 3.pdf;LAVABILE base bianca;EUH071, EUH208, EUH210, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.02;30.00
011;SDS - LAVABILE BASE BO - IT - Rev. 2.pdf;LAVABILE base bo;EUH071, EUH208, EUH210, H301, H302, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;7.41;30.00
012;SDS - ONYX LAVABILE - BIANCO - IT - Rev. 02.pdf;ONYX lavabile base bianca;EUH071, EUH208, EUH210, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.2 g/cm3 Metodo:Picnometro;non applicabile;6.02;30.00
